Year i_index j_index k_index x_coord_m y_coord_m z_coord_m Gas_Saturation
2030-Jan-01 17 3 13 19323.1 18155.1 1043.27 -9999
2030-Jan-01 18 3 13 19489.1 18155.1 1023.3 -9999
2030-Jan-01 19 3 13 19655.2 18155.1 1013.82 -9999
2030-Jan-01 20 3 13 19821.3 18155.1 1025.92 -9999
2030-Jan-01 21 3 13 19987.3 18155.1 1036.48 -9999
2030-Jan-01 22 3 13 20153.4 18155.1 1031.34 1e-06
2030-Jan-01 23 3 13 20319.5 18155.1 1031.1 1e-06
2030-Jan-01 24 3 13 20485.5 18155.1 1043.86 1e-06
2030-Jan-01 25 3 13 20651.6 18155.1 1056.39 1e-06
2030-Jan-01 26 3 13 20817.7 18155.1 1067.25 1e-06
2030-Jan-01 27 3 13 20983.7 18155.1 1067.93 1e-06
2030-Jan-01 28 3 13 21149.8 18155.1 1060.48 -9999
2030-Jan-01 29 3 13 21315.9 18155.1 1055.8 -9999
2030-Jan-01 30 3 13 21481.9 18155.1 1058.45 -9999
2030-Jan-01 31 3 13 21648 18155.1 1065.42 -9999
2030-Jan-01 32 3 13 21814.1 18155.1 1069.09 -9999
2030-Jan-01 33 3 13 21980.1 18155.1 1070.4 -9999
2030-Jan-01 34 3 13 22146.2 18155.1 1072.13 -9999
2030-Jan-01 35 3 13 22312.3 18155.1 1072.82 -9999
2030-Jan-01 36 3 13 22478.3 18155.1 1072.89 -9999
2030-Jan-01 37 3 13 22644.4 18155.1 1070.69 -9999
2030-Jan-01 38 3 13 22810.4 18155.1 1069.96 -9999
2030-Jan-01 1 4 13 16666 18312.4 1050.38 -9999
2030-Jan-01 2 4 13 16832.1 18312.4 1055.64 1e-06
2030-Jan-01 3 4 13 16998.1 18312.4 1057.17 1e-06
2030-Jan-01 4 4 13 17164.2 18312.4 1054.22 1e-06
2030-Jan-01 5 4 13 17330.3 18312.4 1054.78 1e-06
2030-Jan-01 6 4 13 17496.3 18312.4 1053.38 1e-06
2030-Jan-01 7 4 13 17662.4 18312.4 1052.4 1e-06
2030-Jan-01 8 4 13 17828.5 18312.4 1057.04 1e-06
2030-Jan-01 9 4 13 17994.5 18312.4 1062.59 1e-06
2030-Jan-01 10 4 13 18160.6 18312.4 1061.5 1e-06
2030-Jan-01 11 4 13 18326.7 18312.4 1061.41 1e-06
2030-Jan-01 12 4 13 18492.7 18312.4 1060.46 1e-06
2030-Jan-01 13 4 13 18658.8 18312.4 1058.11 -9999
2030-Jan-01 14 4 13 18824.9 18312.4 1058.52 -9999
2030-Jan-01 15 4 13 18990.9 18312.4 1058.68 -9999
2030-Jan-01 16 4 13 19157 18312.4 1058.31 -9999
2030-Jan-01 17 4 13 19323.1 18312.4 1053.33 -9999
2030-Jan-01 18 4 13 19489.1 18312.4 1044.39 -9999
2030-Jan-01 19 4 13 19655.2 18312.4 1044.66 1e-06
2030-Jan-01 20 4 13 19821.3 18312.4 1052.33 1e-06
2030-Jan-01 21 4 13 19987.3 18312.4 1054.72 1e-06
2030-Jan-01 22 4 13 20153.4 18312.4 1034.98 1e-06
2030-Jan-01 23 4 13 20319.5 18312.4 1021.46 1e-06
2030-Jan-01 24 4 13 20485.5 18312.4 1035.22 1e-06
2030-Jan-01 25 4 13 20651.6 18312.4 1047.44 1e-06
2030-Jan-01 26 4 13 20817.7 18312.4 1056.58 1e-06
2030-Jan-01 27 4 13 20983.7 18312.4 1058.65 1e-06
2030-Jan-01 28 4 13 21149.8 18312.4 1055.34 -9999
2030-Jan-01 29 4 13 21315.9 18312.4 1054.03 -9999
2030-Jan-01 30 4 13 21481.9 18312.4 1053.48 -9999
2030-Jan-01 31 4 13 21648 18312.4 1057.4 -9999
2030-Jan-01 32 4 13 21814.1 18312.4 1063.96 -9999
2030-Jan-01 33 4 13 21980.1 18312.4 1068.49 -9999
2030-Jan-01 34 4 13 22146.2 18312.4 1069.48 -9999
2030-Jan-01 35 4 13 22312.3 18312.4 1070.58 -9999
2030-Jan-01 36 4 13 22478.3 18312.4 1072.76 -9999
2030-Jan-01 37 4 13 22644.4 18312.4 1072.02 -9999
2030-Jan-01 38 4 13 22810.4 18312.4 1071.97 -9999
2030-Jan-01 1 5 13 16666 18469.6 1049.63 -9999
2030-Jan-01 2 5 13 16832.1 18469.6 1054.4 -9999
2030-Jan-01 3 5 13 16998.1 18469.6 1059.16 1e-06
2030-Jan-01 4 5 13 17164.2 18469.6 1058.4 1e-06
2030-Jan-01 5 5 13 17330.3 18469.6 1055.26 1e-06
2030-Jan-01 6 5 13 17496.3 18469.6 1050.28 1e-06
2030-Jan-01 7 5 13 17662.4 18469.6 1052.1 1e-06
2030-Jan-01 8 5 13 17828.5 18469.6 1059.73 1e-06
2030-Jan-01 9 5 13 17994.5 18469.6 1062.74 1e-06
2030-Jan-01 10 5 13 18160.6 18469.6 1060.74 1e-06
2030-Jan-01 11 5 13 18326.7 18469.6 1057.93 1e-06
2030-Jan-01 12 5 13 18492.7 18469.6 1055.02 1e-06
2030-Jan-01 13 5 13 18658.8 18469.6 1054.34 -9999
